,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_GBC__subsample,param_GBC__n_estimators,param_GBC__min_samples_split,param_GBC__min_samples_leaf,param_GBC__max_features,param_GBC__max_depth,param_GBC__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
89,0.41158766746520997,0.011825588667457714,0.015781450271606445,0.005845263417524355,0.9,2,0.1,0.4,log2,3,1,"{'GBC__subsample': 0.9, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'log2', 'GBC__max_depth': 3, 'GBC__learning_rate': 1}",0.46108949416342415,0.43190661478599224,0.4581440622972096,0.45944192083062946,0.46203763789746916,0.4464633354964309,0.47501622323166776,0.4691758598312784,0.43867618429591176,0.45295262816353016,0.45549039609935427,0.012618491026572198,46
26,0.47711279392242434,0.02514227217542355,0.015449023246765137,0.0028050318289714543,0.618,2,0.1,0.1,log2,8,0.1,"{'GBC__subsample': 0.618, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'log2', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.1}",0.44487678339818415,0.4383916990920882,0.43478260869565216,0.436080467229072,0.46138870863075926,0.42504866969500327,0.4600908500973394,0.43932511356262166,0.4516547696301103,0.45295262816353016,0.4444592298194361,0.01121974753305147,47
88,1.6140365600585938,0.07934277101912596,0.01579015254974365,0.0024976260834499854,0.618,10,0.1,0.2,sqrt,3,0.05,"{'GBC__subsample': 0.618, 'GBC__n_estimators': 10, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.2, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 3, 'GBC__learning_rate': 0.05}",0.46173800259403375,0.4604409857328145,0.4133679428942245,0.4373783257624919,0.42375081116158336,0.399740428293316,0.436080467229072,0.4172615184944841,0.41855937702790397,0.43413367942894227,0.4302451538618867,0.01888472563984661,48
18,8.004313421249389,0.6425973271400288,0.024660491943359376,0.002943666746787503,0.8,50,0.1,0.30000000000000004,sqrt,5,0.01,"{'GBC__subsample': 0.8, 'GBC__n_estimators': 50, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.30000000000000004, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.01}",0.4079118028534371,0.4604409857328145,0.40038935756002597,0.4471122647631408,0.4133679428942245,0.3977936404931862,0.43024010382868266,0.4042829331602855,0.4464633354964309,0.4334847501622323,0.42414871169444607,0.02121384232183214,49
4,2.879747223854065,0.15388096480429161,0.017066335678100585,0.001711275084736213,1.0,10,0.1,0.1,sqrt,8,0.01,"{'GBC__subsample': 1.0, 'GBC__n_estimators': 10, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.01}",0.39364461738002593,0.40012970168612194,0.40103828682673587,0.41920830629461386,0.4127190136275146,0.3887086307592472,0.41661258922777417,0.40298507462686567,0.3951979234263465,0.42504866969500327,0.4055292813550249,0.01152982293559146,50
56,0.5971659898757935,0.12108240677293632,0.02292003631591797,0.0087832654096564,0.85,2,0.1,0.4,log2,5,0.5,"{'GBC__subsample': 0.85, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'log2', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.5}",0.3534370946822309,0.35732814526588846,0.46593121349772876,0.39844256975989617,0.4763140817650876,0.3854639844256976,0.3893575600259572,0.3705386112913692,0.46203763789746916,0.3945489941596366,0.4053399892770962,0.04352923011466854,51
68,7.9484347105026245,0.6813679962449296,0.02797079086303711,0.00863156107479747,0.9,50,0.1,0.4,sqrt,3,0.01,"{'GBC__subsample': 0.9, 'GBC__n_estimators': 50, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 3, 'GBC__learning_rate': 0.01}",0.3560311284046693,0.3631647211413748,0.3484750162232317,0.3861129136924075,0.36404931862427,0.35431537962362103,0.3698896820246593,0.35885788449059053,0.3848150551589877,0.382219338092148,0.366793043747596,0.012791913683902584,52
48,0.45763497352600097,0.019948281933008707,0.016607832908630372,0.00309249985123992,0.95,2,0.1,0.4,log2,8,0.1,"{'GBC__subsample': 0.95, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'log2', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.1}",0.3223086900129702,0.3352788586251621,0.3218689162881246,0.3510707332900714,0.3348475016223232,0.3257624918883842,0.3393900064892927,0.3283582089552239,0.34717715768981183,0.35171966255678133,0.3357782227418145,0.010781258161415421,53
79,0.41746704578399657,0.021084604592149597,0.014768075942993165,0.0032333354315784374,1.0,2,0.1,0.4,sqrt,3,0.1,"{'GBC__subsample': 1.0, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 3, 'GBC__learning_rate': 0.1}",0.3223086900129702,0.3346303501945525,0.32251784555483454,0.35236859182349123,0.33874107722258273,0.3218689162881246,0.34068786502271253,0.3309539260220636,0.33225178455548343,0.35431537962362103,0.3350644426320436,0.011110430876795576,54
98,2.5785953760147096,0.3034714703781392,0.02017219066619873,0.004864951410428812,0.9,10,0.1,0.1,log2,8,0.01,"{'GBC__subsample': 0.9, 'GBC__n_estimators': 10, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'log2', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.01}",0.3086900129701686,0.3203631647211414,0.30953926022063594,0.33160285528877353,0.32316677482154443,0.3062946138870863,0.32706035042180404,0.32057105775470474,0.3199221284879948,0.3393900064892927,0.32066002250631465,0.00995873419498931,55
